,name,gender,country,disciplines,events
5027,YAKOVLEV Mikhail,Male,Israel,Cycling Track,Mens Keirin
5028,YAKOVLEV Mikhail,Male,Israel,Cycling Track,Mens Sprint
5029,RAKSAT Chuthamat,Female,Thailand,Boxing,Womens 50kg
5030,ZALTSMAN Tomer,Male,Israel,Cycling Mountain Bike,Mens Cross-country
5031,SOMNUEK Thananya,Female,Thailand,Boxing,Womens 60kg
5032,HALVORSEN Ole Martin,Male,Norway,Shooting,10m Air Rifle Men
5033,HALVORSEN Ole Martin,Male,Norway,Shooting,50m Rifle 3 Positions Men
5034,HALVORSEN Ole Martin,Male,Norway,Shooting,10m Air Rifle Mixed Team
5035,GAFINOVITZ Rotem,Female,Israel,Cycling Road,Womens Road Race
5036,SUWANNAPHENG Janjaem,Female,Thailand,Boxing,Womens 66kg
5037,LOIV Janika,Female,Estonia,Cycling Mountain Bike,Womens Cross-country
5038,XIN Xin,Female,China,Marathon Swimming,Womens 10km
5039,JITPONG Jutamas,Female,Thailand,Boxing,Womens 54kg
5040,GASPARELLI Alessandra,Female,San Marino,Athletics,Womens 100m
